,wheelbase,boreratio,compressionratio,fueltype_diesel,carbody_convertible,enginelocation_rear,cylindernumber_four,cylindernumber_twelve,fuelsystem_idi,CarCompany_high
0,88.6,3.47,9.0,0,1,0,1,0,0,0
1,88.6,3.47,9.0,0,1,0,1,0,0,0
2,94.5,2.68,9.0,0,0,0,0,0,0,0
3,99.8,3.19,10.0,0,0,0,1,0,0,0
4,99.4,3.19,8.0,0,0,0,0,0,0,0
5,99.8,3.19,8.5,0,0,0,0,0,0,0
6,105.8,3.19,8.5,0,0,0,0,0,0,0
7,105.8,3.19,8.5,0,0,0,0,0,0,0
8,105.8,3.13,8.3,0,0,0,0,0,0,0
9,99.5,3.13,7.0,0,0,0,0,0,0,0
10,101.2,3.5,8.8,0,0,0,1,0,0,1
11,101.2,3.5,8.8,0,0,0,1,0,0,1
12,101.2,3.31,9.0,0,0,0,0,0,0,1
13,101.2,3.31,9.0,0,0,0,0,0,0,1
14,103.5,3.31,9.0,0,0,0,0,0,0,1
15,103.5,3.62,8.0,0,0,0,0,0,0,1
16,103.5,3.62,8.0,0,0,0,0,0,0,1
17,110.0,3.62,8.0,0,0,0,0,0,0,1
18,88.4,2.91,9.5,0,0,0,0,0,0,0
19,94.5,3.03,9.6,0,0,0,1,0,0,0
20,94.5,3.03,9.6,0,0,0,1,0,0,0
21,93.7,2.97,9.41,0,0,0,1,0,0,0
22,93.7,2.97,9.4,0,0,0,1,0,0,0
23,93.7,3.03,7.6,0,0,0,1,0,0,0
24,93.7,2.97,9.4,0,0,0,1,0,0,0
25,93.7,2.97,9.4,0,0,0,1,0,0,0
26,93.7,2.97,9.4,0,0,0,1,0,0,0
27,93.7,3.03,7.6,0,0,0,1,0,0,0
28,103.3,3.34,8.5,0,0,0,1,0,0,0
29,95.9,3.6,7.0,0,0,0,1,0,0,0
30,86.6,2.91,9.6,0,0,0,1,0,0,0
31,86.6,2.91,9.2,0,0,0,1,0,0,0
32,93.7,2.91,10.1,0,0,0,1,0,0,0
33,93.7,2.91,9.2,0,0,0,1,0,0,0
34,93.7,2.91,9.2,0,0,0,1,0,0,0
35,96.5,2.91,9.2,0,0,0,1,0,0,0
36,96.5,2.92,9.2,0,0,0,1,0,0,0
37,96.5,3.15,9.0,0,0,0,1,0,0,0
38,96.5,3.15,9.0,0,0,0,1,0,0,0
39,96.5,3.15,9.0,0,0,0,1,0,0,0
40,96.5,3.15,9.0,0,0,0,1,0,0,0
41,96.5,3.15,9.0,0,0,0,1,0,0,0
42,96.5,3.15,9.1,0,0,0,1,0,0,0
43,94.3,3.31,8.5,0,0,0,1,0,0,0
44,94.5,3.03,9.6,0,0,0,1,0,0,0
45,94.5,3.03,9.6,0,0,0,1,0,0,0
46,96.0,3.43,9.2,0,0,0,1,0,0,0
47,113.0,3.63,8.1,0,0,0,0,0,0,1
48,113.0,3.63,8.1,0,0,0,0,0,0,1
49,102.0,3.54,11.5,0,0,0,0,1,0,1
50,93.1,3.03,9.0,0,0,0,1,0,0,0
51,93.1,3.03,9.0,0,0,0,1,0,0,0
52,93.1,3.03,9.0,0,0,0,1,0,0,0
53,93.1,3.03,9.0,0,0,0,1,0,0,0
54,93.1,3.08,9.0,0,0,0,1,0,0,0
55,95.3,3.33,9.4,0,0,0,0,0,0,0
56,95.3,3.33,9.4,0,0,0,0,0,0,0
57,95.3,3.33,9.4,0,0,0,0,0,0,0
58,95.3,3.33,9.4,0,0,0,0,0,0,0
59,98.8,3.39,8.6,0,0,0,1,0,0,0
60,98.8,3.39,8.6,0,0,0,1,0,0,0
61,98.8,3.39,8.6,0,0,0,1,0,0,0
62,98.8,3.39,8.6,0,0,0,1,0,0,0
63,98.8,3.39,22.7,1,0,0,1,0,1,0
64,98.8,3.39,8.6,0,0,0,1,0,0,0
65,104.9,3.76,8.0,0,0,0,1,0,0,0
66,104.9,3.43,22.0,1,0,0,1,0,1,0
67,110.0,3.58,21.5,1,0,0,0,0,1,1
68,110.0,3.58,21.5,1,0,0,0,0,1,1
69,106.7,3.58,21.5,1,0,0,0,0,1,1
70,115.6,3.58,21.5,1,0,0,0,0,1,1
71,115.6,3.46,8.3,0,0,0,0,0,0,1
72,96.6,3.46,8.3,0,1,0,0,0,0,1
73,120.9,3.8,8.0,0,0,0,0,0,0,1
74,112.0,3.8,8.0,0,0,0,0,0,0,1
75,102.7,3.78,8.0,0,0,0,1,0,0,0
76,93.7,2.97,9.4,0,0,0,1,0,0,0
77,93.7,2.97,9.4,0,0,0,1,0,0,0
78,93.7,2.97,9.4,0,0,0,1,0,0,0
79,93.0,3.03,7.6,0,0,0,1,0,0,0
80,96.3,3.17,7.5,0,0,0,1,0,0,0
81,96.3,3.35,8.5,0,0,0,1,0,0,0
82,95.9,3.58,7.0,0,0,0,1,0,0,0
83,95.9,3.59,7.0,0,0,0,1,0,0,0
84,95.9,3.59,7.0,0,0,0,1,0,0,0
85,96.3,3.35,8.5,0,0,0,1,0,0,0
86,96.3,3.35,8.5,0,0,0,1,0,0,0
87,96.3,3.17,7.5,0,0,0,1,0,0,0
88,96.3,3.17,7.5,0,0,0,1,0,0,0
89,94.5,3.15,9.4,0,0,0,1,0,0,0
90,94.5,2.99,21.9,1,0,0,1,0,1,0
91,94.5,3.15,9.4,0,0,0,1,0,0,0
92,94.5,3.15,9.4,0,0,0,1,0,0,0
93,94.5,3.15,9.4,0,0,0,1,0,0,0
94,94.5,3.15,9.4,0,0,0,1,0,0,0
95,94.5,3.15,9.4,0,0,0,1,0,0,0
96,94.5,3.15,9.4,0,0,0,1,0,0,0
97,94.5,3.15,9.4,0,0,0,1,0,0,0
98,95.1,3.15,9.4,0,0,0,1,0,0,0
99,97.2,3.33,8.5,0,0,0,1,0,0,0
100,97.2,3.33,8.5,0,0,0,1,0,0,0
101,100.4,3.43,9.0,0,0,0,0,0,0,0
102,100.4,3.43,9.0,0,0,0,0,0,0,0
103,100.4,3.43,9.0,0,0,0,0,0,0,0
104,91.3,3.43,9.0,0,0,0,0,0,0,0
105,91.3,3.43,7.8,0,0,0,0,0,0,0
106,99.2,3.43,9.0,0,0,0,0,0,0,0
107,107.9,3.46,8.4,0,0,0,1,0,0,0
108,107.9,3.7,21.0,1,0,0,1,0,1,0
109,114.2,3.46,8.4,0,0,0,1,0,0,0
110,114.2,3.7,21.0,1,0,0,1,0,1,0
111,107.9,3.46,8.4,0,0,0,1,0,0,0
112,107.9,3.7,21.0,1,0,0,1,0,1,0
113,114.2,3.46,8.4,0,0,0,1,0,0,0
114,114.2,3.7,21.0,1,0,0,1,0,1,0
115,107.9,3.46,8.4,0,0,0,1,0,0,0
116,107.9,3.7,21.0,1,0,0,1,0,1,0
117,108.0,3.61,7.0,0,0,0,1,0,0,0
118,93.7,2.97,9.4,0,0,0,1,0,0,0
119,93.7,3.03,7.6,0,0,0,1,0,0,0
120,93.7,2.97,9.4,0,0,0,1,0,0,0
121,93.7,2.97,9.4,0,0,0,1,0,0,0
122,93.7,2.97,9.4,0,0,0,1,0,0,0
123,103.3,3.35,8.5,0,0,0,1,0,0,0
124,95.9,3.59,7.0,0,0,0,1,0,0,0
125,94.5,3.94,9.5,0,0,0,1,0,0,1
126,89.5,3.74,9.5,0,0,1,0,0,0,1
127,89.5,3.74,9.5,0,0,1,0,0,0,1
128,89.5,3.74,9.5,0,1,1,0,0,0,1
129,98.4,3.94,10.0,0,0,0,0,0,0,1
130,96.1,3.46,8.7,0,0,0,1,0,0,0
131,96.1,3.46,8.7,0,0,0,1,0,0,0
132,99.1,3.54,9.31,0,0,0,1,0,0,0
133,99.1,3.54,9.3,0,0,0,1,0,0,0
134,99.1,2.54,9.3,0,0,0,1,0,0,0
135,99.1,3.54,9.3,0,0,0,1,0,0,0
136,99.1,3.54,9.0,0,0,0,1,0,0,0
137,99.1,3.54,9.0,0,0,0,1,0,0,0
138,93.7,3.62,9.0,0,0,0,1,0,0,0
139,93.7,3.62,8.7,0,0,0,1,0,0,0
140,93.3,3.62,8.7,0,0,0,1,0,0,0
141,97.2,3.62,9.5,0,0,0,1,0,0,0
142,97.2,3.62,9.5,0,0,0,1,0,0,0
143,97.2,3.62,9.0,0,0,0,1,0,0,0
144,97.0,3.62,9.0,0,0,0,1,0,0,0
145,97.0,3.62,7.7,0,0,0,1,0,0,0
146,97.0,3.62,9.0,0,0,0,1,0,0,0
147,97.0,3.62,9.0,0,0,0,1,0,0,0
148,96.9,3.62,9.0,0,0,0,1,0,0,0
149,96.9,3.62,7.7,0,0,0,1,0,0,0
150,95.7,3.05,9.0,0,0,0,1,0,0,0
151,95.7,3.05,9.0,0,0,0,1,0,0,0
152,95.7,3.05,9.0,0,0,0,1,0,0,0
153,95.7,3.05,9.0,0,0,0,1,0,0,0
154,95.7,3.05,9.0,0,0,0,1,0,0,0
155,95.7,3.05,9.0,0,0,0,1,0,0,0
156,95.7,3.19,9.0,0,0,0,1,0,0,0
157,95.7,3.19,9.0,0,0,0,1,0,0,0
158,95.7,3.27,22.5,1,0,0,1,0,1,0
159,95.7,3.27,22.5,1,0,0,1,0,1,0
160,95.7,3.19,9.0,0,0,0,1,0,0,0
161,95.7,3.19,9.0,0,0,0,1,0,0,0
162,95.7,3.19,9.0,0,0,0,1,0,0,0
163,94.5,3.19,9.0,0,0,0,1,0,0,0
164,94.5,3.19,9.0,0,0,0,1,0,0,0
165,94.5,3.24,9.4,0,0,0,1,0,0,0
166,94.5,3.24,9.4,0,0,0,1,0,0,0
167,98.4,3.62,9.3,0,0,0,1,0,0,0
168,98.4,3.62,9.3,0,0,0,1,0,0,0
169,98.4,3.62,9.3,0,0,0,1,0,0,0
170,98.4,3.62,9.3,0,0,0,1,0,0,0
171,98.4,3.62,9.3,0,0,0,1,0,0,0
172,98.4,3.62,9.3,0,1,0,1,0,0,0
173,102.4,3.31,8.7,0,0,0,1,0,0,0
174,102.4,3.27,22.5,1,0,0,1,0,1,0
175,102.4,3.31,8.7,0,0,0,1,0,0,0
176,102.4,3.31,8.7,0,0,0,1,0,0,0
177,102.4,3.31,8.7,0,0,0,1,0,0,0
178,102.9,3.27,9.3,0,0,0,0,0,0,0
179,102.9,3.27,9.3,0,0,0,0,0,0,0
180,104.5,3.27,9.2,0,0,0,0,0,0,0
181,104.5,3.27,9.2,0,0,0,0,0,0,0
182,97.3,3.01,23.0,1,0,0,1,0,1,0
183,97.3,3.19,9.0,0,0,0,1,0,0,0
184,97.3,3.01,23.0,1,0,0,1,0,1,0
185,97.3,3.19,9.0,0,0,0,1,0,0,0
186,97.3,3.19,9.0,0,0,0,1,0,0,0
187,97.3,3.01,23.0,1,0,0,1,0,1,0
188,97.3,3.19,10.0,0,0,0,1,0,0,0
189,94.5,3.19,8.5,0,1,0,1,0,0,0
190,94.5,3.19,8.5,0,0,0,1,0,0,0
191,100.4,3.19,8.5,0,0,0,0,0,0,0
192,100.4,3.01,23.0,1,0,0,1,0,1,0
193,100.4,3.19,9.0,0,0,0,1,0,0,0
194,104.3,3.78,9.5,0,0,0,1,0,0,0
195,104.3,3.78,9.5,0,0,0,1,0,0,0
196,104.3,3.78,9.5,0,0,0,1,0,0,0
197,104.3,3.78,9.5,0,0,0,1,0,0,0
198,104.3,3.62,7.5,0,0,0,1,0,0,0
199,104.3,3.62,7.5,0,0,0,1,0,0,0
200,109.1,3.78,9.5,0,0,0,1,0,0,0
201,109.1,3.78,8.7,0,0,0,1,0,0,0
202,109.1,3.58,8.8,0,0,0,0,0,0,0
203,109.1,3.01,23.0,1,0,0,0,0,1,0
204,109.1,3.78,9.5,0,0,0,1,0,0,0
